exon_number,chromosome,genomic_start_grch38,genomic_end_grch38,strand,transcript_id,ensembl_exon_id,transcript_exon_start,transcript_exon_end,cds_start,cds_end,coding_length_bp,splice_phase_5prime,splice_phase_3prime,cumulative_cds_start,cumulative_cds_end,source,source_version,date_accessed
47,X,31929596,31929745,reverse,ENST00000357033.9,ENSE00003988220,7000,7149,6763,6912,150,0,0,6763,6912,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
48,X,31875188,31875373,reverse,ENST00000357033.9,ENSE00003687899,7150,7335,6913,7098,186,0,0,6913,7098,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
49,X,31836718,31836819,reverse,ENST00000357033.9,ENSE00003592729,7336,7437,7099,7200,102,0,0,7099,7200,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
50,X,31819975,31820083,reverse,ENST00000357033.9,ENSE00003639303,7438,7546,7201,7309,109,0,1,7201,7309,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
51,X,31773960,31774192,reverse,ENST00000357033.9,ENSE00003669071,7547,7779,7310,7542,233,1,0,7310,7542,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
52,X,31729631,31729748,reverse,ENST00000357033.9,ENSE00001213215,7780,7897,7543,7660,118,0,1,7543,7660,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
53,X,31679375,31679586,reverse,ENST00000357033.9,ENSE00001258577,7898,8109,7661,7872,212,1,0,7661,7872,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
54,X,31657990,31658144,reverse,ENST00000357033.9,ENSE00001213199,8110,8264,7873,8027,155,0,2,7873,8027,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
55,X,31627673,31627862,reverse,ENST00000357033.9,ENSE00001258641,8265,8454,8028,8217,190,2,0,8028,8217,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
56,X,31507281,31507453,reverse,ENST00000357033.9,ENSE00003500236,8455,8627,8218,8390,173,0,2,8218,8390,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
57,X,31496788,31496944,reverse,ENST00000357033.9,ENSE00003669069,8628,8784,8391,8547,157,2,0,8391,8547,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
58,X,31478983,31479103,reverse,ENST00000357033.9,ENSE00003675980,8785,8905,8548,8668,121,0,1,8548,8668,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
59,X,31478106,31478374,reverse,ENST00000357033.9,ENSE00001259193,8906,9174,8669,8937,269,1,0,8669,8937,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
60,X,31444481,31444627,reverse,ENST00000357033.9,ENSE00001259171,9175,9321,8938,9084,147,0,0,8938,9084,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
61,X,31348556,31348634,reverse,ENST00000357033.9,ENSE00003637702,9322,9400,9085,9163,79,0,1,9085,9163,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
62,X,31323598,31323658,reverse,ENST00000357033.9,ENSE00003693649,9401,9461,9164,9224,61,1,2,9164,9224,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
63,X,31260955,31261016,reverse,ENST00000357033.9,ENSE00003620850,9462,9523,9225,9286,62,2,1,9225,9286,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
64,X,31223047,31223121,reverse,ENST00000357033.9,ENSE00003554036,9524,9598,9287,9361,75,1,1,9287,9361,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
65,X,31209498,31209699,reverse,ENST00000357033.9,ENSE00001158950,9599,9800,9362,9563,202,1,2,9362,9563,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
66,X,31206582,31206667,reverse,ENST00000357033.9,ENSE00001158943,9801,9886,9564,9649,86,2,1,9564,9649,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
67,X,31203961,31204118,reverse,ENST00000357033.9,ENSE00001158937,9887,10044,9650,9807,158,1,0,9650,9807,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
68,X,31182738,31182904,reverse,ENST00000357033.9,ENSE00001034045,10045,10211,9808,9974,167,0,2,9808,9974,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
69,X,31180370,31180481,reverse,ENST00000357033.9,ENSE00003569118,10212,10323,9975,10086,112,2,0,9975,10086,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
70,X,31178669,31178805,reverse,ENST00000357033.9,ENSE00001034039,10324,10460,10087,10223,137,0,2,10087,10223,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
71,X,31177932,31177970,reverse,ENST00000357033.9,ENSE00001158912,10461,10499,10224,10262,39,2,2,10224,10262,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
72,X,31173539,31173604,reverse,ENST00000357033.9,ENSE00001158905,10500,10565,10263,10328,66,2,2,10263,10328,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
73,X,31172348,31172413,reverse,ENST00000357033.9,ENSE00001158901,10566,10631,10329,10394,66,2,2,10329,10394,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
74,X,31169443,31169601,reverse,ENST00000357033.9,ENSE00001158895,10632,10790,10395,10553,159,2,2,10395,10553,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
75,X,31147275,31147518,reverse,ENST00000357033.9,ENSE00001158887,10791,11034,10554,10797,244,2,0,10554,10797,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
76,X,31146291,31146414,reverse,ENST00000357033.9,ENSE00001034085,11035,11158,10798,10921,124,0,1,10798,10921,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
77,X,31134102,31134194,reverse,ENST00000357033.9,ENSE00001158874,11159,11251,10922,11014,93,1,1,10922,11014,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
78,X,31126642,31126673,reverse,ENST00000357033.9,ENSE00001436107,11252,11283,11015,11046,32,1,0,11015,11046,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
79,X,31119222,31121930,reverse,ENST00000357033.9,ENSE00003901420,11284,13992,11047,11058,12,0,0,11047,11058,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
